order=',a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_a: (u)|(A)
_profiting: pr(a):f(i):dd(1)ng
_profits: pr(a):f(i)ts
_program: pr(O):gr(&)m
_programmed: pr(O):gr(&)md
_programs: pr(O):gr(&)mz
_progress: pr(a):gr(e)s
_progressed: pr(a):gr(e)st
_progresses: pr(a):gr(e):s(i)s
_progressing: pr(a):gr(e):s(1)ng
_progressive: pr(u):gr(e):s(i)v
_project: pr(a):j(e)kt
_projected: pr(a):j(e)k:t(i)d
_projects: pr(a):j(e)kts
_promise: pr(a):m(i)s
_promised: pr(a):m(i)st
_promises: pr(a):m(i):s(i)z
_promising: pr(a):m(i):s(1)ng
_promote: pr(O):m(O)t
_promoted: pr(O):m(O):t(i)d
_promotes: pr(O):m(O)ts
_promoting: pr(O):m(O):t(1)ng
_proper: pr(a):p(3)
_properties: pr(a):p(3):t(E)z
_property: pr(a):p(3):t(E)
_propertys: pr(a):p(3):t(E)z
_proposal: pr(u):p(O):z(0)l
_proposals: pr(u):p(O):z(0)ls
_propose: pr(u):p(O)z
_proposed: pr(u):p(O)zd
_proposes: pr(u):p(O):z(i)z
_proposing: pr(u):p(O):z(1)ng
_prosecutor: pr(a):s(i):ky(o):t(3)
_prosecutors: pr(a):s(i):ky(o):t(3)z
_protect: pr(O):t(e)kt
_protected: pr(O):t(e)k:t(i)d
_protection: pr(O):t(e)k:sh(i)n
_protections: pr(O):t(e)k:sh(i)ns
_protects: pr(O):t(e)kts
_proud: pr(8)d
_prouder: pr(8):d(3)
_proudest: pr(8):d(i)st
_prove: pr(o)v
_proved: pr(o)vd
_proves: pr(o)vz
_provide: pr(O):v(I)d
_provided: pr(O):v(I):d(i)d
_provides: pr(O):v(I)dz
_proving: pr(o):v(1)ng
_public: p(u)b:l(i)k
_publics: p(u)b:l(i)ks
_publish: p(u):bl(i)sh
_published: p(u):bl(i)shd
_publishes: p(u):bl(i):sh(i)z
_publishing: p(u):bl(i):sh(1)ng
_pull: p(6)l
_pulled: p(6)ld
_pulls: p(6)ls
_punches: p(u)n:ch(i)z
_puppeteers: p(u):p(i):t(E)rz
_puppets: p(u):p(i)ts
_pure: py(3)
_purpose: p(3):p(i)s
_purposed: p(3):p(i)st
_purposes: p(3):p(i):s(i)z
_pursue: p(3):s(o)
_pursued: p(3):s(o)d
_pursues: p(3):s(o)z
_pursuing: p(3):s(o):(1)ng
_pursuit: p(3):s(o)t
_push: p(6)sh
_pushed: p(6)shd
_pushes: p(6):sh(i)z
_put: p(6)t
_puts: p(6)ts
_qualified: kw(9):l(i):f(I)d
_qualities: kw(9):l(i):d(E)z
_quality: kw(9):l(i):d(E)
_quarter: k(0)r:dd(3)
_quartered: k(0)r:dd(3)d
_quarters: k(0)r:dd(3)z
_question: kw(e)s:ch(i)n
_questioned: kw(e)s:ch(i)nd
_questions: kw(e)s:ch(i)ns
_quick: kw(i)k
_quicker: kw(i):k(3)
_quickest: kw(i):k(i)st
_quickly: kw(i)k:l(E)
_quicklyd: kw(i)k:l(E)d
_quiet: kw(I):(i)t
_quieter: kw(I):(i):dd(3)
_quietest: kw(I):(i):dd(i)st
_quietly: kw(I):(i)t:l(E)
_quite: kw(I)t
_r: (a)r
_race: r(A)s
_raced: r(A)st
_races: r(A):s(i)z
_radio: r(A):d(E):(O)
_radios: r(A):d(E):(O)z
_rain: r(A)n
_rained: r(A)nd
_raining: r(A):n(1)ng
_rains: r(A)nz
_raise: r(A)z
_raised: r(A)st
_raises: r(A):z(i)z
_ran: r(&)n
_range: r(A)nj
_ranged: r(A)njd
_ranges: r(A)n:j(i)z
_rare: r(A)r
_rarer: r(A)r:(3)
_rarest: r(A)r:(i)st
_rate: r(A)t
_rated: r(A):d(i)d
_rates: r(A)ts
_rather: r(@):dh(3)
_rating: r(A):dd(1)ng
_ratings: r(A):dd(1)ngz
_rational: r(@):sh(i):n(0)l
_rats: r(@)ts
_ray: r(A)
_reach: r(E)ch
_reached: r(E)cht
_reaches: r(E):ch(i)z
_reaching: r(E):ch(1)ng
_react: r(E):(@)kt
_reaction: r(E):(@)k:sh(i)n
_reactions: r(E):(@)k:sh(i)ns
_read: r(E)d
_reader: r(E):d(3)
_readers: r(E):d(3)z
_readied: r(e):d(E)d
_readies: r(e):d(E)z
_reading: r(E):d(1)ng
_readings: r(E):d(1)ngz
_reads: r(E)dz
_ready: r(e):d(E)
_real: r(E)l
_realities: r(E):y(@):l(i):t(E)z
_reality: r(E):y(@):l(i):t(E)
_realitys: r(E):y(@):l(i):t(E)z
_realize: r(E)l:l(I)z
_realized: r(E)l:l(I)zd
_realizes: r(E)l:l(I):z(i)z
_really: r(i):l(E)
_reals: r(E)lz
_reason: r(E):z(i)n
_reasoned: r(E):z(i)nd
_reasons: r(E):z(i)ns
_recall: r(E):k(9l)
_recalled: r(E):k(9l)d
_recalling: r(E):k(9):l(1)ng
_recalls: r(E):k(9l)s
_receive: r(E):s(E)v
_received: r(E):s(E)vd
_receives: r(E):s(E)vz
_recent: r(E):s(i)nt
_recently: r(e):s(i)nt:l(E)
_recognize: r(e):k(i)g:n(I)z
_recognized: r(e):k(i)g:n(I)zd
_recognizes: r(e):k(i)g:n(I):z(i)z
_recommend: r(e):k(u):m(e)nd
_recommended: r(e):k(u):m(e)n:d(i)d
_recommending: r(e):k(u):m(e)n:d(1)ng
_recommends: r(e):k(u):m(e)ndz
_record: r(i):k(0)rd
_recorded: r(i):k(0)r:d(i)d
_records: r(i):k(0)rdz
_recover: r(E):k(u):v(3)
_recovered: r(E):k(u):v(3)d
_recovering: r(E):k(u):v(3):r(1)ng
_recovers: r(E):k(u):v(3)z
_red: r(e)d
_reds: r(e)dz
_reduce: r(E):d(o)s
_reduced: r(E):d(o)st
_reduces: r(E):d(o):s(i)z
_ree: r(E)
_reeling: r(E)l:l(1)ng
_refer: r(E):f(3)
_reference: r(e):fr(i)ns
_references: r(e):fr(i)n:s(i)z
_referred: r(E):f(3)d
_referring: r(E):f(3):(1)ng
_refers: r(E):f(3)z
_reflect: r(i):fl(e)kt
_reflected: r(i):fl(e)k:t(i)d
_reflecting: r(i):fl(e)k:t(1)ng
_reflects: r(i):fl(e)kts
_reform: r(E):f(0)rm
_reformed: r(E):f(0)rmd
_reforming: r(E):f(0)r:m(1)ng
_reforms: r(E):f(0)rms
_refusal: r(E):fy(o):z(0)l
_refuse: r(E):f(o)z
_refused: r(E):fy(o)zd
_refuses: r(E):fy(o):z(i)z
_refusing: r(E):fy(o):z(1)ng
_regard: r(i):g(a)rd
_regarded: r(i):g(a)r:d(i)d
_regarding: r(i):g(a)r:d(1)ng
_regards: r(i):g(a)rdz
_regime: r(i):zh(E)m
_regimes: r(i):zh(E)mz
_region: r(E):j(i)n
_regional: r(E):g(i)n:n(0)l
_regionals: r(E):g(i)n:n(0)lz
_regions: r(E):j(i)ns
_regret: r(E):gr(e)t
_regular: r(e):gy(o):l(3)
_regulars: r(e):gy(o):l(3)z
_regulation: r(e):gy(o):l(A):sh(i)n
_regulations: r(e):gy(o):l(A):sh(i)ns
_reject: r(E):j(e)kt
_rejected: r(E):j(e)k:t(i)d
_rejecting: r(E):j(e)k:t(1)ng
_rejects: r(E):j(e)kts
_relate: r(E):l(A)t
_related: r(E):l(A):t(i)d
_relates: r(E):l(A)ts
_relating: r(E):l(A):d(1)ng
_relation: r(E):l(A):sh(i)n
_relations: r(E):l(A):sh(i)ns
_relationship: r(E):l(A):sh(u)n:sh(i)p
_relationships: r(E):l(A):sh(u)n:sh(i)ps
_relatively: r(e):l(i):t(i)v:l(E)
_release: r(E):l(E)s
_released: r(E):l(E)st
_releases: r(E):l(E):s(i)z
_releasing: r(E):l(E):s(1)ng
_relied: r(i):l(I)d
_relief: r(E):l(E)f
_reliefs: r(E):l(E)fs
_relies: r(i):l(I)z
_relieved: r(E):l(E)vd
_relieving: r(E):l(E):v(1)ng
_religion: r(E):l(i):j(i)n
_religions: r(E):l(i):j(i)ns
_religious: r(E):l(i):j(i)s
_rely: r(E):l(I)
_relying: r(i):l(I):(1)ng
_remain: r(E):m(A)n
_remains: r(E):m(A)ns
_remember: r(E):m(e)m:b(3)
_remembered: r(E):m(e)m:b(3)d
_remembers: r(E):m(e)m:b(3)z
_remind: r(i):m(I)nd
_reminded: r(i):m(I)n:d(i)d
_reminding: r(i):m(I)n:d(1)ng
_reminds: r(i):m(I)ndz
_remove: r(E):m(o)v
_removed: r(E):m(o)vd
_removes: r(E):m(o)vz
_removing: r(E):m(o):v(1)ng
_rendezvous: r(a)n:d(e):v(o)
_repeat: r(i):p(E)t
_repeated: r(i):p(E):dd(i)d
_repeating: r(i):p(E):dd(1)ng
_repeats: r(i):p(E)ts
_replace: r(E):pl(A)s
_replaced: r(E):pl(A)st
_replaces: r(E):pl(A):s(i)z
_replacing: r(E):pl(A):s(1)ng
_report: r(E):p(0)rt
_reported: r(E):p(0)r:t(i)d
_reporter: r(E):p(0)r:d(3)
_reporters: r(E):p(0)r:d(3)z
_reports: r(E):p(0)rts
_represent: r(e):pr(E):z(e)nt
_representative: r(e)p:r(i):z(e)n:n(i):t(i)v
_representatives: r(e)p:r(i):z(e)n:n(i):t(i)vz
_represents: r(e):pr(E):z(e)nts
_republican: r(E):p(u)b:l(i):k(i)n
_republicans: r(E):p(u)b:l(i):k(i)ns
_request: r(E):kw(e)st
_requested: r(E):kw(e)s:t(i)d
_requesting: r(E):kw(e)s:t(1)ng
_requests: r(E):kw(e)sts
_require: r(E):kw(I):(3)
_required: r(E):kw(I):(3)d
_requirement: r(i):kw(I):(3):m(i)nt
_requirements: r(i):kw(I):(3):m(i)nts
_requires: r(E):kw(I):(3)s
_research: r(E):s(3)ch
_researched: r(E):s(3)cht
_researcher: r(E):s(3):ch(3)
_researchers: r(E):s(3):ch(3)z
_researches: r(E):s(3):ch(i)z
_researching: r(E):sh(3):ch(1)ng
_reset: r(E):s(e)t
_resident: r(e):z(i):d(i)nt
_residential: r(e):z(i):d(e)n:sh(0)l
_residents: r(e):z(i):d(i)nts
_residing: r(e):z(I):d(1)ng
_resolution: r(e):z(u):l(o):sh(i)n
_resolutions: r(e):z(u):l(o):sh(i)nz
_resource: r(E):s(0)rs
_resourced: r(E):s(0)rsd
_resources: r(E):s(0)r:s(i)z
_respect: r(i)s:p(e)kt
_respected: r(i)s:p(e)k:t(i)d
_respecting: r(i)s:p(e)k:t(1)ng
_respects: r(i)s:p(e)kts
_respond: r(e):sp(a)nd
_responded: r(e):sp(a)n:d(i)d
_responding: r(e):sp(a)n:d(1)ng
_responds: r(e):sp(a)ndz
_response: r(e):sp(a)ns
_responses: r(e):sp(a)n:s(i)z
_responsibilities: r(i):sp(a)n:s(i):b(i)l:l(i):d(E)z
_responsibility: r(i):sp(a)n:s(i):b(i)l:l(i):d(E)
_responsibilitys: r(i):sp(a)n:s(i):b(i)l:l(i):d(E)z
_responsible: r(i):sp(a)n:s(i):b(0)l
_rest: r(e)st
_restaurant: r(e)s:tr(a)nt
_restaurants: r(e)s:tr(a)nts
_rested: r(e)s:t(i)d
_rests: r(e)sts
_result: r(E):z(0)lt
_resulted: r(E):z(0)l:t(i)d
_results: r(E):z(0)lts
_return: r(E):t(3)n
_returned: r(E):t(3)nd
_returns: r(E):t(3)ns
_reveal: r(E):v(E)l
_revealed: r(E):v(E)ld
_revealing: r(E):v(E)l:l(1)ng
_reveals: r(E):v(E)lz
_revenue: r(e):v(i):n(o)
_revenues: r(e):v(i):n(o)z
_review: r(i):vy(o)
_reviewed: r(i):vy(o)d
_reviewing: r(i):vy(o):(1)ng
_reviews: r(i):vy(o)z
_rich: r(i)ch
_richer: r(i):ch(3)
_riches: r(i):ch(i)z
_richest: r(i):ch(i)st
_ride: r(I)d
_rides: r(I)dz
_riding: r(I):d(1)ng
_right: r(I)t
_rights: r(I)ts
_ring: r(1)ng
_ringing: r(1)ng:(1)ng
_rings: r(1)ngz
_rise: r(I)z
_risen: r(i):z(i)n
_rises: r(I):z(i)z
_rising: r(I):z(1)ng
_risk: r(i)sk
_risked: r(i)skt
_risks: r(i)sks
_river: r(i):v(3)
_rivers: r(i):v(3)z
_ro: r(O)
_road: r(O)d
_roads: r(O)dz
_rock: r(a)k
_rocks: r(a)ks
_rocky: r(a):k(E)
_rode: r(O)d
_rol: r(0)l
_role: r(0)l
_roles: r(0)ls
_roll: r(0)l
_rolled: r(0)ld
_rolling: r(0)l:l(1)ng
_rolls: r(0)ls
_romeo: r(O):m(E):(O)
_room: r(o)m
_rooms: r(o)mz
_root: r(o)t
_rooted: r(o):t(i)d
_rooting: r(o):dd(1)ng
_roots: r(o)ts
_rose: r(O)z
_route: r(o)t
_routes: r(o)ts
_row: r(O)
_rowed: r(O)d
_rowing: r(O):(1)ng
_rows: r(O)z
_rule: r(o)l
_ruled: r(o)ld
_rules: r(o)lz
_run: r(u)n
_running: r(u):n(1)ng
_runs: r(u)nz
_rural: r(6):r(0)l
_rush: r(u)sh
_rushed: r(u)sht
_rushes: r(u):sh(i)z
_rushing: r(u):sh(1)ng
_russian: r(u):sh(i)n
_russians: r(u):sh(i)ns
_sacrifice: s(@):kr(i):f(I)s
_sacrificed: s(@):kr(i):f(I)st
_sad: s(@)d
_sadness: s(@)d:n(i)s
_safe: s(A)f
_safely: s(A)f:l(E)
_safer: s(A):f(3)
_safest: s(A):f(i)st
_safeties: s(A)f:t(E)z
_safety: s(A)f:t(E)
_said: s(e)d
_sales: s(A)lz
_salt: s(9l)t
_salted: s(9l):t(i)d
_salting: s(9l):t(1)ng
_salts: s(9l)ts
_salute: s(a):l(o)t
_same: s(A)m
_sample: s(&)m:p(0)l
_sampled: s(&)m:p(0)ld
_sampler: s(&)m:pl(3)
_samples: s(&)m:p(0)lz
_sampling: s(&)m:pl(1)ng
_sand: s(&)nd
_sandy: s(&)n:d(E)
_sat: s(@)t
_satin: s(@):t(i)n
_save: s(A)v
_saved: s(A)vd
_saves: s(A)vz
_saw: s(9)
_say: s(A)
_saying: s(A):(1)ng
_says: s(e)z
_scale: sk(A)l
_scaled: sk(A)ld
_scales: sk(A)lz
_scaling: sk(A)l:l(1)ng
_scared: sk(A)rd
_scarf: sk(a)rf
_scaring: sk(A)r:r(1)ng
_scene: s(E)n
_scenes: s(E)ns
_scholar: sk(9):l(3)
_scholars: sk(9):l(3)z
_school: sk(o)l
_schools: sk(o)lz
_science: s(I):(i)ns
_sciences: s(I):(i)n:s(i)z
_scientific: s(I):(i)n:t(i):f(i)k
_scientifics: s(I):(i)n:t(i):f(i)ks
_scientist: s(I):(i)n:t(i)st
_scientists: sc(i):(i)n:t(i)sts
_score: sk(0)r
_scored: sk(0)rd
_scores: sk(0)rs
_scoring: sk(0)r:r(1)ng
_scratch: skr(@)ch
_scream: skr(E)m
_screamed: skr(E)md
_screaming: skr(E):m(1)ng
_screams: skr(E)mz
_screen: skr(E)n
_screens: skr(E)nz
_sea: s(E)
_seal: s(E)l
_search: s(3)ch
_searched: s(3)cht
_searches: s(3):ch(i)z
_searching: s(3):ch(1)ng
_seas: s(E)z
_season: s(E):z(i)n
_seasoned: s(E):z(i)nd
_seasons: s(E):z(i)nz
_seat: s(E)t
_seats: s(E)ts
_second: s(e):k(i)nd
_seconded: s(e):k(i)n:d(i)d
_seconds: s(e):k(i)nz
_secret: s(E):kr(i)t
_secretaries: s(e)k:r(i):t(A)r:r(E)z
_secretary: s(e)k:r(i):t(A)r:r(E)
_secretarys: s(e)k:r(i):t(A)r:r(E)z
_secrets: s(E):kr(i)ts
_section: s(e)k:sh(i)n
_sectioned: s(e)k:sh(i)nd
_sectioning: s(e)k:sh(i):n(1)ng
_sections: s(e)k:sh(i)ns
_sector: s(e)k:t(3)
_sectored: s(e)k:t(3)d
_sectors: s(e)k:t(3)z
_securities: s(i):ky(3):r(i):t(E)z
_security: s(i):ky(3):r(i):t(E)
_securitys: s(i):ky(3):r(i):t(E)z
_sed: s(e)d
_see: s(E)
_seed: s(E)d
_seeded: s(E):d(i)d
_seeding: s(E):d(1)ng
_seeds: s(E)dz
_seeing: s(E):(1)ng
_seek: s(E)k
_seeks: s(E)ks
_seem: s(E)m
_seemed: s(E)md
_seems: s(E)mz
_sees: s(E)s
_select: s(u):l(e)kt
_selected: s(u):l(e)k:t(i)d
_selecting: s(u):l(e)k:d(1)ng
_selection: s(u):l(e)k:sh(i)n
_selections: s(u):l(e)k:sh(i)nz
_selects: s(u):l(e)kts
_self: s(e)lf
_sell: s(e)l
_sells: s(e)lz
_senate: s(e):n(i)t
_senates: s(e):n(i)ts
_senator: s(e):n(i):t(3)
_send: s(e)nd
_sends: s(e)ndz
_senior: s(E)n:y(3)
_seniority: s(E)n:ny(0)r:r(i):t(E)
_seniors: s(E)n:y(3)z
_sense: s(e)ns
_sensed: s(e)nst
_senses: s(e)n:s(i)z
_sent: s(e)nt
_sentence: s(e)n:t(i)ns
_sentenced: s(e)n:t(i)nst
_sentences: s(e)n:t(i)n:s(i)z
_sentencing: s(e)n:t(i)n:s(1)ng
_separate: s(e):p(3):r(A)t|s(e):pr(i)t
_separated: s(e):p(3):r(A):dd(i)d
_separates: s(e):p(3):r(A)ts
_separating: s(e):p(3):r(A):dd(1)ng
_series: s(E)r:(E)z
_serious: s(E)r:r(E):(i)s
_seriously: s(E)r:r(E):(i)s:l(E)
_serve: s(3)v
_served: s(3)vd
_serves: s(3)vz
_service: s(3):v(i)s
_serviced: s(3):v(i)st
_services: s(3):v(i):s(i)z
_session: s(e):sh(i)n
_sessions: s(e):sh(i)ns
_set: s(e)t
_sets: s(e)ts
_setting: s(e):dd(1)ng
_settings: s(e):dd(1)ngz
_settle: s(e):dd(0)l
_settled: s(e):dd(0)ld
_settles: s(e):dd(0)lz
_settling: s(e):dd(0)l:l(1)ng
_seven: s(e):v(i)n
_sevens: s(e):v(i)ns
_seventh: s(e):v(i)nth
_several: s(e)v:r(O)l
_sex: s(e)ks
_sexes: s(e)k:s(i)z
_sext: s(e)kst
_sexual: s(e)k:sh(o):(0)l
_sexy: s(e)k:s(E)
_shadow: sh(@):dd(O)
_shadows: sh(@):dd(O)z
_shake: sh(A)k
_shakes: sh(A)ks
_shaking: sh(A):k(1)ng
_shallow: sh(@):l(O)
_shape: sh(A)p
_shaped: sh(A)pt
_shapes: sh(A)ps
_shaping: sh(A):p(1)ng
_share: sh(A)r
_shared: sh(A)rd
_shares: sh(A)rs
_sharp: sh(a)rp
_sharper: sh(a)r:p(3)
_sharpest: sh(a)r:p(i)st
_she: sh(E)
_shed: sh(e)d
_sheet: sh(E)t
_sheets: sh(E)ts
_shes: sh(E)s
_shield: sh(E)ld
_shift: sh(i)ft
_shifted: sh(i)f:d(i)d
_shifting: sh(i)f:t(1)ng
_shifts: sh(i)fts
_shining: sh(I):n(1)ng
_ship: sh(i)p
_shipped: sh(i)pd
_shipping: sh(i):p(1)ng
_ships: sh(i)ps
_shirt: sh(3)t
_shirts: sh(3)ts
_shit: sh(i)t
_shoe: sh(o)
_shoes: sh(o)s
_shook: sh(6)k
_shoot: sh(o)t
_shooting: sh(o):t(1)ng
_shoots: sh(o)ts
_shop: sh(a)p
_shopped: sh(a)pt
_shopping: sh(a):p(1)ng
_shops: sh(a)ps
_shore: sh(0)r
_short: sh(0)rt
_shorter: sh(0)r:d(3)
_shortest: sh(0)r:d(i)st
_shorts: sh(0)rts
_shot: sh(a)t
_shots: sh(a)ts
_should: sh(6)d
_shoulder: sh(0)l:d(3)
_shoulders: sh(0)l:d(3)z
_shouldnt: sh(6):d(i)nt
_shouldve: sh(6):d(u)v
_shout: sh(8)t
_show: sh(O)
_showed: sh(O)d
_shown: sh(O)n
_shows: sh(O)s
_shut: sh(u)t
_shuts: sh(u)ts
_shutting: sh(u):dd(1)ng
_sick: s(i)k
_sicker: s(i):k(3)
_sickest: s(i):k(i)st
_sickly: s(i)k:l(E)
_sicks: s(i)ks
_side: s(I)d
_sided: s(I):d(i)d
_sides: s(I)dz
_sighs: s(I)z
_sight: s(I)t
_sights: s(I)ts
_sign: s(I)n
_signal: s(i)g:n(0)l
_signaled: s(i)g:n(0)ld
_signaling: s(i)g:n(0)l:(1)ng
_signals: s(i)g:n(0)lz
_signed: s(I)nd
_significance: s(i)g:n(i):f(i):k(i)ns
_significant: s(i)g:n(i):f(i):k(i)nt
_significantly: s(i)g:n(i):f(i):k(i)nt:l(E)
_signs: s(I)ns
_silence: s(I):l(i)ns
_silenced: s(I):l(i)nst
_silencer: s(I):l(i)n:s(3)
_silences: s(I):l(i)n:s(i)z
_silencing: s(I):l(i)n:s(1)ng
_silly: s(i):l(E)
_similar: s(i):m(u):l(3)
_simple: s(i)m:p(0)l
_simpler: s(i)m:pl(3)
_simplest: s(i)m:pl(i)st
_simply: s(i)m:pl(E)
_since: s(i)ns
_sing: s(1)ng
_singing: s(1)ng:(1)ng
_single: s(1)ng:(0)l
_singled: s(1)ng:(0)ld
_singles: s(1)ng:(0)lz
_sings: s(1)ngz
_sink: s(1)nk
_sir: s(3)
_sirs: s(3)z
_sister: s(i)s:t(3)
_sisters: s(i)s:t(3)z
_sit: s(i)t
_site: s(I)t
_sited: s(I):d(i)d
_sites: s(I)ts
_sits: s(i)ts
_situation: s(i):ch(o):(A):sh(i)n
_situations: s(i):ch(o):(A):sh(i)ns
_six: s(i)ks
_sixes: s(i)k:s(i)s
_sixth: s(i)ksth
_size: s(I)z
_sizes: s(I):z(i)z
_skies: sk(I)z
_skill: sk(i)l
_skilled: sk(i)ld
_skills: sk(i)lz
_skin: sk(i)n
_skinned: sk(i)nd
_skinning: sk(i):n(1)ng
_skins: sk(i)ns
_sky: sk(I)
_skys: sk(I)z
_sleep: sl(E)p
_sleeper: sl(E):p(3)
_sleeping: sl(E):p(1)ng
_sleeps: sl(E)ps
_slept: sl(e)pt
_slightest: sl(I):d(i)st
_slightly: sl(I)t:l(E)
_slip: sl(i)p
_slipped: sl(i)pt
_slippery: sl(i):p(3):r(E)
_slipping: sl(i):p(1)ng
_slips: sl(i)ps
_slow: sl(O)
_slowed: sl(O)d
_slower: sl(O):(3)
_slowest: sl(O):(i)st
_slowing: sl(O):(1)ng
_slowly: sl(O):l(E)
_slows: sl(O)z
_small: sm(9l)
_smart: sm(a)rt
_smarter: sm(a)r:dd(3)
_smartest: sm(a)r:dd(i)st
_smarts: sm(a)rts
_smell: sm(e)l
_smile: sm(I)l
_smiled: sm(I)ld
_smiles: sm(I)lz
_smiling: sm(I):l(1)ng
_sneakers: sn(E):k(3)z
_snow: sn(O)
_snowballing: sn(O):b(9l):l(1)ng
_snowed: sn(O)d
_snowing: sn(O):(1)ng
_snowman: sn(O):m(&)n
_snows: sn(O)z
_so: s(O)
_social: s(O):sh(O)l
_socials: s(O):sh(O)ls
_societies: s(u):s(I):(i):t(E)z
_society: s(u):s(I):(i):t(E)
_societys: s(u):s(I):(i):t(E)z
_soft: s(a)ft
_softer: s(a)f:t(3)
_softest: s(a)f:t(i)st
_software: s(9)ft:w(A)r
_soil: s(Q):(0)l
_soiled: s(Q):(0)ld
_soiling: s(Q):(0)l:l(1)ng
_soils: s(Q):(0)ls
_sold: s(0)ld
_soldier: s(0)l:j(3)
_soldiers: s(0)l:j(3)z
_solid: s(a):l(i)d
_solids: s(a):l(i)dz
_solution: s(u):l(o):sh(i)n
_solutions: s(u):l(o):sh(i)ns
_solve: s(9l)v
_solved: s(9l)vd
_solves: s(9l)vz
_solving: s(9l):v(1)ng
_some: s(u)m
_somebodies: s(u)m:b(a):d(E)z
_somebody: s(u)m:b(a):d(E)
_somebodys: s(u)m:b(a):d(E)z
_someday: s(u)m:d(A)
_somehow: s(u)m:h(8)
_somehowd: s(u)m:h(8)d
_someone: s(u)m:w(u)n
_someones: s(u)m:w(u)ns
_something: s(u)m:th(1)ng
_somethings: s(u)m:th(1)ngz
_sometime: s(u)m:t(I)m
_sometimes: s(u)m:t(I)mz
_somewhat: s(u)m:w(u)t
_somewhere: s(u)m:w(A)r
_son: s(u)n
_song: s(a)ng
_songs: s(a)ngz
_sons: s(u)ns
_soon: s(o)n
_sorrow: s(9):r(O)
_sorry: s(a)r:(E)
_sorrys: s(a)r:(E)z
_sort: s(0)rt
_sorted: s(0)r:d(i)d
_sorting: s(0)r:d(1)ng
_sorts: s(0)rts
_sought: s(9)t
_soul: s(0)l
_soulful: s(0)l:f(0)l
_soulfully: s(0)l:f(u):l(E)
_souls: s(0)lz
_sound: s(8n)d
_sounded: s(8n):d(i)d
_sounds: s(8n)dz
_source: s(0)rs
_sourced: s(0)rst
_sources: s(0)r:s(i)z
_south: s(8)th
_southern: s(u):dh(3)n
_southerner: s(u):dh(3):n(3)
_southerners: s(u):dh(3)n:n(3)z
_souths: s(8)ths
_soviet: s(O):v(E):(i)t
_soviets: s(O):v(E):(i)ts
_space: sp(A)s
_spaced: sp(A)st
_spaces: sp(A):s(i)z
_speak: sp(E)k
_speaks: sp(E)ks
_special: sp(e):sh(0)l
_specially: sp(e):sh(u):l(E)
_specials: sp(e):sh(0)lz
_species: sp(E):sh(i)z
_specific: sp(i):s(i):f(i)k
_specifically: sp(i):s(i):f(i)k:l(E)
_specifics: sp(i):s(i):f(i)ks
_speech: sp(E)ch
_speeches: sp(E):ch(i)z
_speed: sp(E)d
_speeds: sp(E)dz
_spend: sp(e)nd
_spends: sp(e)nz
_spent: sp(e)nt
_spirit: sp(E)r:r(i)t
_spirits: sp(E)r:r(i)ts
_spiritual: sp(E)r:r(i):ch(0)l
_spirituals: sp(E)r:r(i):ch(0)lz
_spit: sp(i)t
_spoke: sp(O)k
_sport: sp(0)rt
_sported: sp(0)r:d(i)d
_sports: sp(0)rts
_spot: sp(a)t
_spots: sp(a)ts
_spotted: sp(a):d(i)d
_spotting: sp(a):d(1)ng
_spread: spr(e)d
_spreading: spr(e):d(1)ng
_spreads: spr(e)dz
_spring: spr(1)ng
_springing: spr(1)ng:(1)ng
_springs: spr(1)ngz
_sprung: spr(u)ng
_stab: st(@)b
_stabbed: st(@)bd
_staff: st(@)f
_staffed: st(@)ft
_staffs: st(@)fs
_stage: st(A)j
_staged: st(A)jt
_stages: st(A):j(i)z
_staging: st(A):j(1)ng
_stand: st(&)nd
_standard: st(&)n:d(3)d
_standards: st(&)n:d(3)dz
_stands: st(&)nz
_star: st(a)r
_stare: st(A)r
_stared: st(A)rd
_stares: st(A)rz
_staring: st(A)r:r(1)ng
_starred: st(a)rd
_stars: st(a)rs
_start: st(a)rt
_started: st(a)r:dd(i)d
_starting: st(a)r:dd(1)ng
_starts: st(a)rts
_state: st(A)t
_stated: st(A):d(i)d
_statement: st(A)t:m(i)nt
_statements: st(A)t:m(i)nts
_states: st(A)ts
_station: st(A):sh(i)n
_stationed: st(A):sh(i)nd
_stations: st(A):sh(i)ns
_status: st(@):d(i)s
_statuses: st(@):d(i):s(i)z
_stay: st(A)
_stayed: st(A)d
_staying: st(A):(1)ng
_stays: st(A)z
_steal: st(E)l
_stealing: st(E)l:l(1)ng
_steals: st(E)lz
_step: st(e)p
_stepped: st(e)pt
_steps: st(e)ps
_stick: st(i)k
_sticking: st(i):k(1)ng
_sticks: st(i)ks
_still: st(i)l
_sting: st(1)ng
_stir: st(3)
_stirred: st(3)d
_stirring: st(3):(1)ng
_stirs: st(3)s
_stock: st(a)k
_stocked: st(a)kt
_stocks: st(a)ks
_stole: st(0)l
_stone: st(O)n
_stoned: st(O)nd
_stones: st(O)nz
_stoning: st(O):n(1)ng
_stood: st(6)d
_stop: st(a)p
_stopped: st(a)pt
_stops: st(a)ps
_store: st(0)r
_stored: st(0)rd
_stores: st(0)rs|st(0)rz
_stories: st(0)r:r(E)s|st(0)r:r(E)z
_storm: st(0)rm
_stormed: st(0)rmd
