_a: u
_series: sE,Er:rE,Ez
_serious: sE,Er:ri:u,us
_seriously: sE,Er:rE:u,us:lE
_serve: s3,3v
_served: s3,3vd
_serves: s3,3vz
_service: s3:vi,is
_serviced: s3:vi,isd
_services: s3:vi:si,is
_session: se:shi,in
_sessions: se:shi,ins
_set: se,et
_sets: se,ets
_setting: se:dd1,1ng
_settings: se:dd1,1ngz
_settle: se:dd0,0l
_settled: se:dd0,0ld
_settles: se:dd0,0lz
_settling: se:dd0,0l:l1,1ng
_seven: se:vi,in
_sevens: se:vi,ins
_several: se,ev:rO,Ol
_sex: se,eks
_sexes: se,ek:si,iz
_sext: se,ekst
_sexual: se,ek:sho:w0,0l
_sexy: se,ek:sE
_shadow: sh@:ddO
_shadows: sh@:ddO,Os
_shake: shA,Ak
_shakes: shA,Aks
_shaking: shA:k1,1ng
_shallow: sh@:lO
_shape: shA,Ap
_shaped: shA,Apd
_shapes: shA,Aps
_shaping: shA:p1,1ng
_share: shA,Ar
_shared: shA,Ard
_shares: shA,Ars
_sharp: sha,arp
_sharper: sha,ar:p3
_sharpest: sha,ar:pi,ist
_she: shE
_shed: she,ed
_sheet: shE,Et
_sheets: shE,Ets
_shes: shE,Es
_shield: shE,Eld
_shift: shi,ift
_shifted: shi,if:di,id
_shifting: shi,if:t1,1ng
_shifts: shi,ifts
_shining: shI:n1,1ng
_ship: shi,ip
_shipped: shi,ipd
_shipping: shi:p1,1ng
_ships: shi,ips
_shirt: sh3,3t
_shirts: sh3,3ts
_shit: shi,it
_shoe: sho
_shoes: sho,os
_shook: sh6,6k
_shoot: sho,ot
_shooting: sho:t1,1ng
_shoots: sho,ots
_shop: sha,ap
_shopped: sha,apd
_shopping: sha:p1,1ng
_shops: sha,aps
_shore: sh0,0r
_short: sh0,0rt
_shorter: sh0,0r:t3
_shortest: sh0,0r:ti,ist
_shorts: sh0,0rts
_shot: sha,at
_shots: sha,ats
_should: sh6,6d
_shoulder: sh0,0l:d3
_shoulders: sh0,0l:d3,3z
_shouldnt: sh6:di,int
_shouldve: sh6:du,uv
_shout: sh8,8t
_show: shO
_showed: shO,Od
_shown: shO,On
_shows: shO,Os
_shut: shu,ut
_shuts: shu,uts
_shutting: shu:dd1,1ng
_sick: si,ik
_sicker: si:k3
_sickest: si:ki,ist
_sicks: si,iks
_side: sI,Id
_sided: sI:di,id
_sides: sI,Ids
_sighs: sI,Iz
_sight: sI,It
_sights: sI,Its
_sign: sI,In
_signal: si,ig:n0,0l
_signaled: si,ig:n0,0ld
_signaling: si,ig:n0,0l:1,1ng
_signals: si,ig:n0,0ls
_signed: sI,Ind
_significance: si,ig:ni:fi:ki,ins
_significant: si,ig:ni:fi:ki,int
_significantly: si,ig:ni:fi:ki,int:lE
_signs: sI,Ins
_silence: sI:li,ins
_silenced: sI:li,insd
_silencer: sI:li,in:s3
_silences: sI:li,in:si,iz
_silencing: sI:li,in:s1,1ng
_similar: si:mu:l3
_simple: si,im:p0,0l
_simpler: si,im:pl3
_simplest: si,im:pli,ist
_simply: si,im:plE
_since: si,ins
_sing: s1,1ng
_singing: s1:1,1ng
_single: s1,in:g0,0l
_singled: s1,in:g0,0ld
_singles: s1,in:g0,0ls
_sings: s1,1ngz
_sink: s1,1nk
_sir: s3
_sirs: s3,3z
_sister: si,is:t3
_sisters: si,is:t3,3z
_sit: si,it
_site: sI,It
_sited: sI:ti,id
_sites: sI,Its
_sits: si,its
_situation: si:cho:wA:shi,in
_situations: si:cho:wA:shi,ins
_six: si:iks
_sixes: si,ik:si,is
_size: sI,Iz
_sizes: sI:zi,iz
_skies: skI:Iz
_skill: ski,il
_skilled: ski,ild
_skills: ski,ilz
_skin: ski,in
_skinned: ski,ind
_skinning: ski:n1,1ng
_skins: ski,ins
_sky: skI
_skys: skI:Iz
_sleep: slE,Ep
_sleeper: slE:p3
_sleeping: slE:p1,1ng
_sleeps: slE,Eps
_slept: sle,ept
_slightest: slI:ti,ist
_slightly: slI,It:lE
_slip: sli,ip
_slipped: sli,ipd
_slippery: sli:p3:rE
_slipping: sli:p1,1ng
_slips: sli,ips
_slow: slO
_slowed: slO,Od
_slower: slO:3
_slowest: slO:i,ist
_slowing: slO:1,1ng
_slowly: slO:lE
_slows: slO,Oz
_small: sm9,9l
_smart: sma,art
_smarter: sma,ar:dd3
_smartest: sma,ar:ddi,ist
_smarts: sma,arts
_smell: sme,el
_smile: smI,Il
_smiled: smI,Ild
_smiles: smI,Ilz
_smiling: smI:l1,1ng
_sneakers: snE:k3,3z
_snow: snO
_snowballing: snO:b9,9l:l1,1ng
_snowed: snO,Od
_snowing: snO:1,1ng
_snowman: snO:m&,&n
_snows: snO,Oz
_so: sO
_social: sO:shO,Ol
_socials: sO:shO,Ols
_societies: su:sI:yi:tE,Ez
_society: su:sI:yi:tE
_societys: su:sI:yi:tE,Ez
_soft: sa,aft
_softer: sa,af:t3
_softest: sa,af:ti,ist
_software: s9,9ft:wA,Ar
_soil: sQ:0,0l
_soiled: sQ:0,0ld
_soiling: sQ:0,0l:l1,1ng
_soils: sQ:0,0ls
_sold: s0,0ld
_soldier: s0,0l:j3
_soldiers: s0,0l:j3,3z
_solid: sa:li,id
_solids: sa:li,ids
_solution: su:lu:shi,in
_solutions: su:lu:shi,ins
_solve: s9,9lv
_solved: s9,9lvd
_solves: s9,9lvz
_solving: s9,9l:v1,1ng
_some: su,um
_somebodies: su,um:ba:dE,Ez
_somebody: su,um:ba:dE
_somebodys: su,um:ba:dE,Ez
_someday: su,um:dA
_somehow: su,um:h8
_somehowd: su,um:h8,8d
_someone: su,um:wu,un
_someones: su,um:wu,uns
_something: su,um:th1,1ng
_somethings: su,um:th1,1ngz
_sometime: su,um:tI,Im
_sometimes: su,um:tI,Ims
_somewhat: su,um:wu,ut
_somewhere: su,um:wA,Ar
_son: su,un
_song: sa,ang
_songs: sa,angs
_sons: su,uns
_soon: so,on
_sorrow: s9:rO
_sorry: sa:rE
_sorrys: sa:rE,Ez
_sort: s0,0rt
_sorted: s0,0r:ti,id
_sorting: s0,0r:t1,1ng
_sorts: s0,0rts
_sought: s9,9t
_soul: s0,0l
_soulful: s0,0l:f0,0l
_soulfully: s0,0l:f0:lE
_souls: s0,0lz
_sound: s8,8nd
_sounded: s8,8n:di,id
_sounds: s8,8nds
_source: s0,0rs
_sourced: s0,0rsd
_sources: s0,0r:si,iz
_south: s8,8th
_southern: su:th3,3n
_southerner: su:thi,in:n3
_southerners: su:thi,in:n3,3z
_souths: s8,8ths
_soviet: sO:vE:i,it
_soviets: sO:vE:i,its
_space: spA,As
_spaced: spA,Asd
_spaces: spA:si,is
_speak: spE,Ek
_speaks: spE,Eks
_special: spe:sh0,0l
_specially: spe:shu:lE
_specials: spe:sh0,0ls
_species: spE:shi,iz
_specific: spi:si:fi,ik
_specifically: spi:si:fi,ik:lE
_specifics: spi:si:fi,iks
_speech: spE,Ech
_speeches: spE,Ech:li,is
_speed: spE,Ed
_speeds: spE,Eds
_spend: spe,end
_spends: spe,ends
_spent: spe,ent
_spirit: spE,Er:ri,it
_spirits: spE,Er:ri,its
_spiritual: spE,Er:ri:ch0,0l
_spirituals: spE,Er:ri:ch0,0ls
_spit: spi,it
_spoke: spO,Ok
_sport: sp0,0rt
_sported: sp0,0r:ti,id
_sports: sp0,0rts
_spot: spa,at
_spots: spa,ats
_spotted: spa:ti,id
_spotting: spa:t1,1ng
_spread: spre,ed
_spreading: spre:d1,1ng
_spreads: spre,eds
_spring: spr1,1ng
_springing: spr1,in:g1,1ng
_springs: spr1,1ngz
_sprung: spru,ung
_stab: st@,@b
_stabbed: st@,@bd
_staff: st@,@f
_staffed: st@,@fd
_staffs: st@,@fs
_stage: stA,Aj
_staged: stA,Ajd
_stages: stA:ji,iz
_staging: stA:j1,1ng
_stand: st&,&nd
_standard: st&,&n:d3,3d
_standards: st&,&n:d3,3ds
_stands: st&,&nds
_star: sta,ar
_stare: stA,Ar
_stared: stA,Ard
_stares: stA,Arz
_staring: stA,Ar:r1,1ng
_starred: sta,ard
_stars: sta,ars
_start: sta,art
_started: sta,3,3td
_starting: sta,ar:dd1,1ng
_starts: sta,arts
_state: stA,At
_stated: stA:ti,id
_statement: stA,At:mi,int
_statements: stA,At:mi,ints
_states: stA,Ats
_station: stA:shi,in
_stationed: stA:shi,ind
_stations: stA:shi,ins
_status: st@:di,is
_statuses: st@:di:si,iz
_stay: stA
_stayed: stA,Ad
_staying: stA:1,1ng
_stays: stA,Az
_steal: stE,El
_stealing: stE,El:l1,1ng
_steals: stE,Elz
_step: ste,ep
_stepped: ste:epd
_steps: ste,eps
_stick: sti,ik
_sticking: sti:k1,1ng
_sticks: sti,iks
_still: sti,il
_sting: st1,1ng
_stir: st3
_stirred: st3,3d
_stirring: st3:r1,1ng
_stirs: st3,3s
_stock: sta,ak
_stocked: sta,akd
_stocks: sta,aks
_stole: st0,0l
_stone: stO,On
_stoned: stO,Ond
_stones: stO,Onz
_stoning: stO:n1,1ng
_stood: st6,6d
_stop: sta,ap
_stopped: sta,apd
_stops: sta,aps
_store: st0,0r
_stored: st0,0rd
_stores: st0,0rs
_stories: st0,0r:rE,Es
_storm: st0,0rm
_stormed: st0,0rmd
_storming: st0,0r:m1,1ng
_storms: st0,0rmz
_story: st0,0r:rE
_straight: strA,At
_straights: strA,Ats
_strange: strA,Anj
_stranger: strA,An:j3
_stranges: strA,Anjs
_strangest: strA,An:ji,ist
_strategies: str@:ti:jE,Ez
_strategy: str@:ti:jE
_street: strE,Et
_streets: strE,Ets
_strength: stre,ength
_strengths: strA,Angths
_stress: stre,es
_stressed: stre,esd
_stresses: stre:si,is
_stressful: stre,es:f0,0l
_stressing: stre:s1,1ng
_stretch: stre,ech
_stretched: stre:echd
_stretches: stre:chi,iz
_stretching: stre:ch1,1ng
_strike: strI,Ik
_strikes: strI,Iks
_striking: strI:k1,1ng
_strong: stra,ang
_stronger: stra,an:g3
_strongest: stra,an:gi,ist
_struck: stru,uk
_structure: stru,uk:ch3
_structures: stru,uk:ch3,3z
_struggle: stru:g0,0l
_struggled: stru:g0,0ld
_struggles: stru:g0,0ls
_struggling: stru:g0,0l:l1,1ng
_stuck: stu,uk
_student: sto:di,int
_students: sto:di,ints
_studied: stu:dE,Ed
_studies: stu:dE,Ez
_studio: sto:dE:O
_studios: sto:dE:O,Os
_study: stu:dE
_stuff: stu,uf
_stuffed: stu,ufd
_stuffing: stu:f1,1ng
_stuffs: stu,ufs
_style: stI:y0,0l
_styled: stI:y0,0ld
_styles: stI:y0,0lz
_styling: stI:l1,1ng
_subject: su,ub:je,ekt
_subjectedsuub: e,ek:ti,id
_subjects: su,ub:je,ekts
_succeed: su,uk:sE,Ed
_succeeded: su,uk:sE:di,id
_succeeding: su,uk:sE:d1,1ng
_succeeds: su,uk:sE,Eds
_success: su,uk:se,es
_successes: su,uk:se:si,iz
_successful: su,uk:se,es:f0,0l
_successfully: su,uk:se,es:f0,0l:lE
_such: su,uch
_sucker: su:k3
_suddenly: su:di,in:lE
_suffer: su:f3
_suffered: su:f3,3d
_suffering: su:f3:r1,1ng
_suffers: su:f3,3z
_sugar: sh6:g3
_sugars: sh6:g3,3s
_suggest: su:je,est
_suggested: su:je,es:ti,id
_suggests: su:je,ests
_suit: so,ot
_suited: so:ti,id
_suits: so,ots
_summer: su:m3
_summers: su:m3,3z
_sun: su,un
_sung: su,ung
_suns: su,uns
_super: so:p3
_supplied: su:plI,Id
_supplies: su:plI,Iz
_supply: su:plI
_supplying: su:plI:1,1ng
_support: su:p0,0rt
_supported: su:p0,0r:ti,id
_supports: su:p0,0rts
_supposed: su:pO,Ozd
_supposedly: su:pO:zi,id:lE
_supreme: su:prE,Em
_supremes: su:prE,Ems
_sure: sh3
_surface: s3:fi,is
_surfaced: s3:fi,isd
_surfaces: s3:fi:si,iz
_surfacing: s3:fi:s1,1ng
_surgeries: s3:j3:rE,Ez
_surgery: s3:j3:rE
_surgerys: s3:j3:rE,Ez
_surprise: s3:prI,Iz
_surprised: s3:prI,Izd
_surprises: s3:prI:zi,iz
_surprising: s3:prI:z1,1ng
_surround: s3:r8,8nd
_surrounded: s3:r8,8n:di,id
_surrounding: s3:r8,8n:d1,1ng
_surrounds: s3:r8,8nds
_survey: s3:vA
_surveys: s3:vA,Az
_survive: s3:vI,Iv
_survived: s3:vI,Ivd
_survives: s3:vI,Ivz
_surviving: s3:vI:v1,1ng
_suspect: su,us:pe,ekt
_suspected: su,us:pe,ek:ti,id
_suspecting: su,us:pe,ek:t1,1ng
_suspects: su,us:pe,ekts
_sways: swA,Az
_sweet: swE,Et
_sweets: swE,Ets
_sympathy: si,im:pe:thE
_system: si,is:ti,im
_systems: si,is:ti,ims
_table: tA:b0,0l
_tables: tA:b0,0ls
_tainted: tA,An:ti,id
_take: tA,Ak
_taken: tA:ke,en
_takes: tA,Aks
_taking: tA:k1,1ng
_tale: t9,9l
_talent: t@:li,int
_talented: t@:li,in:ti,id
_talentful: t@:li,int:f0,0l
_talents: t@:li,ints
_talk: ta,ak
_talked: ta,akd
_talks: ta,aks
_tall: t9,9l
_tank: tA,Ank
_tanked: tA,Ankd
_tanking: tA,An:k1,1ng
_tanks: tA,Anks
_tape: tA,Ap
_taped: tA,Apd
_tapes: tA,Aps
_taping: tA:p1,1ng
_target: ta,ar:gi,it
_targeted: ta,ar:gi:ti,id
_targeting: ta,ar:gi:t1,1ng
_targets: ta,ar:gi,its
_task: t@,@sk
_tasked: t@,@skd
_tasks: t@,@sks
_taste: tA,Ast
_tasted: tA,As:ti,id
_tasteful: tA,Ast:f0,0l
_tastes: tA,Asts
_tasting: tA,As:t1,1ng
_taught: t9,9t
_tax: t@,@ks
_taxed: t@,@ksd
_taxes: t@,@k:si,iz
_teach: tE,Ech
_teached: tE,Echd
_teacher: tE:ch3
_teacherd: tE:ch3,3d
_teachers: tE:ch3,3z
_teaches: tE:chi,iz
_teaching: tE:ch1,1ng
_teachings: tE:ch1,1ngz
_team: tE,Em
_teamed: tE,Emd
_teams: tE,Ems
_tear: tA,Ar
_teared: tA,Ard
_tearing: tA,Ar:r1,1ng
_tears: tA,Arz
_technical: te,ek:ni:k0,0l
_technicality: te,ek:ni:k@:li:ddE
_technically: te,ek:ni,ik:lE
_technique: te,ek:nE,Ek
_techniques: te,ek:nE,Eks
_technologies: te,ek:na:li:jE,Ez
_technology: te,ek:na:li:jE
_technologys: te,ek:na:li:jE,Ez
_teeth: tE,Eth
_telephone: te:li:fO,On
_telephones: te:li:fO,Ons
_television: te:li:vi:zhi,in
_televisions: te:li:vi:zhi,ins
_tell: te,el
_tells: te,els
_temperature: te,em:pri:ch3
_temperatures: te,em:pri:ch3,3z
_ten: te,en
_tend: te,end
_tended: te,en:di,id
_tending: te,en:d1,1ng
_tends: te,ends
_tens: te,ens
_term: t3,3m
_termed: t3,3md
_terms: t3,3ms
_terrible: tA,Ar:ri:b0,0l
_test: te,est
_tested: te,es:ti,id
_tests: te,ests
_text: te,ekst
_texting: te,eks:t1,1ng
_texts: te,eksts
_than: dh&,&n
_thank: thA,Ank
_thanks: thA,Anks
_that: dh@,@t
_thatd: dh@,@d
_thats: dh@,@ts
_the: dhu
_the: dhE
_theater: thE,Er:dd3
_theaters: thE,Er:dd3,3s
_their: dhA,Ar
_theirs: dhA,Ars
_them: dhe,em
_theme: thE,Em
_themes: thE,Emz
_themselves: dhe,em:se,elvz
_then: dhe,en
_theories: thE,Er:rE,Ez
_theory: thE,Er:rE
_theorys: thE,Er:rE,Ez
_there: dhA,Ar
_thered: dhA,Ard
_therefore: thA,Ar:f0,0r
_theres: dhA,Ars
_these: dhE,Ez
_they: dhA
_theyd: dhA,Ad
_theyll: the,el
_theyre: thA,Ar
_theyve: dhA,Av
_thick: thi,ik
_thicker: thi:k3
_thickest: thi:ki,ist
_thicks: thi,iks
_thin: thi,in
_thing: th1,1ng
_things: th1,1ngz
_think: th1,1nk
_thinkd: th1,1nkd
_thinking: th1,in:k1,1ng
_thinks: th1,1nks
_thinner: thi:n3
_thinnest: thi:ni,ist
_thins: thi,ins
_third: th3,3d
_thirds: th3,3ds
_this: dhi,is
_those: dhO,Oz
_though: thO
_thought: th9,9t
_thoughts: th9,9ts
_thousand: th8:zi,ind
_thousands: th8:zi,inds
_threat: thre,et
_threaten: thre:ti,in
_threatened: thre:ti,ind
_threatening: thre:et:n1,1ng
_threatens: thre:ti,ins
_threats: thre,ets
_three: thrE
_threes: thrE,Ez
_threw: thro
_throat: thrO,Ot
_through: thro
_throughout: thro:8,8t
_throw: thrO
_throwing: thrO:1,1ng
_throws: thrO,Oz
_thus: thu,us
_ticket: ti:ki,it
_ticketed: ti:ki:di,id
_ticketing: ti:ki:d1,1ng
_tickets: ti:ki,its
_tie: tI
_tied: tI,Id
_ties: tI,Iz
_til: ti,il
_till: ti,il
_time: tI,Im
_timed: tI,Imd
_times: tI,Ims
_tinier: tI:nE:3
_tiniest: tI:nE:i,ist
_tiny: tI:nE
_tip: ti,ip
_tipped: ti,ipd
_tipping: ti:p1,1ng
_tips: ti,ips
_tired: tI:3,3d
_title: tI:t0,0l
_titled: tI:t0,0ld
_titles: tI:t0,0ls
_to: to
_today: to:dA
_todayd: to:dA,Ad
_todays: to:dA,As
_together: tu:ge:th3
_told: t0,0ld
_tomorrow: tu:ma,ar:rO
_tomorrows: tu:ma,ar:rO,Oz
_tone: tO,On
_toned: tO,Ond
_tones: tO,Ons
_tonight: tu:nI,It
_tonights: tu:nI,Its
_toning: tO:n1,1ng
_too: to
_took: t6,6k
_tool: to,ol
_tools: to,olz
_tooth: to,oth
_top: ta,ap
_topic: ta:pi,ik
_topical: ta:pi:k0,0l
_topics: ta:pi,iks
_topped: ta,apd
_tops: ta,aps
_tore: t0,0r
_total: tO:t0,0l
_totally: tO:ddu:lE
_totals: tO:t0,0ls
_touch: tu,uch
_touched: tu,uchd
_touches: tu:chi,iz
_touching: tu:ch1,1ng
_tough: tu,uf
_tougher: tu:f3
_toughest: tu:fi,ist
_tour: t0,0r
_tours: t0,0rz
_toward: t0,0rd
_towards: t0,0rds
_town: t8,8n
_towns: t8,8ns
_track: tr@,@k
_tracked: tr@,@kd
_tracking: tr@:k1,1ng
_tracks: tr@,@ks
_trade: trA,Ad
_traded: trA:di,id
_trades: trA,Ads
_trading: trA:d1,1ng
_tradition: tru:di:shi,in
_traditional: tra:di:shi:n0,0l
_traditionals: tra:di:shi:n0,0ls
_traditions: tru:di:shi,ins
_traffic: tr@:fi,ik
_traffics: tr@:fi,iks
_tragedy: tr@:ji:dE
_trail: tr9,9l
_trailed: tr9,9ld
_trailing: tr9,9l:l1,1ng
_trails: tr9,9lz
_train: trA,An
_trained: trA,And
_trainers: trA:n3,3s
_training: trA:n1,1ng
_trains: trA,Ans
_travel: tr@:v0,0l
_traveled: tr@:v0,0ld
_traveling: tr@:v0:li,ing
_travels: tr@:v0,0ls
_treaded: tre:di,id
_treat: trE,Et
_treated: trE:ti,id
_treatment: trE,Et:mi,int
_treatments: trE,Et:mi,ints
_treats: trE,Ets
_tree: trE
_trees: trE,Es
_trend: tre,end
_trended: tre,en:di,id
_trending: tre,en:d1,1ng
_trends: tre,ends
_trial: trI:y0,0l
_trials: trI:y0,0lz
_tried: trI,Id
_tries: trI,Is
_trip: tri,ip
_tripped: tri,ipd
_tripping: tri:p1,1ng
_trips: tri,ips
_troop: tro,op
_troops: tro,ops
_trouble: tru:b0,0l
_troubled: tru:b0,0ld
_troubles: tru:b0,0ls
_troubling: tru:b0:l1,1ng
_truck: tru,uk
_trucked: tru:ukd
_trucks: tru,uks
_true: tro
_truly: tro:lE
_trust: tru,ust
_trusted: tru,us:ti,id
_trusting: tru,us:t1,1ng
_trusts: tru,usts
_truth: tro,oth
_truths: tro,oths
_try: trI
_trying: trI:1,1ng
_turn: t3,3n
_turned: t3,3nd
_turning: t3:n1,1ng
_turns: t3,3ns
_turnt: t3,3nt
_tv: tE:vE
_tvz: tE:vE,Ez
_twenty: twe,en:tE
_twentys: twe,en:tE,Ez
_twice: twI,Is
_two: to
_twos: to,os
_tying: tI:1,1ng
_type: tI,Ip
_typed: tI,Ipd
_types: tI,Ips
_typical: ti:pi:k0,0l
_typically: ti:pi,ik:lE
_typicallyd: ti:pi,ik:lE,Ed
_ultimately: u,ul:ti:mi,it:lE
_under: u,un:d3
_understand: u,un:d3:st&,&nd
_understanding: u,un:d3:st&,&n:d1,1ng
_understandings: u,un:d3:st&,&n:d1,1ngz
_understands: u,un:d3:st&,&nds
_understood: u,un:d3:st6,6d
_unfinished: u,un:fi:ni,ishd
_unfortunately: u,un:f0,0r:chi:ni,it:lE
_union: U,Un:yi,in
_unions: U,Un:yi,ins
_unique: U:ni,ik
_unit: U:ni,it
_united: U:nI:ti,id
_units: U:ni,its
_universal: yo:ni:v3:s0,0l
_universe: yo:ni:v3,3s
_universes: yo:ni:v3:si,iz
_universities: U:ni:v3:si:tE,Ez
_university: U:ni:v3:si:tE
_universitys: U:ni:v3:si:tE,Ez
_unknown: u,un:nO,On
_unless: u,un:le,es
_unreliable: u,un:rE:lI:u:b0,0l
_unsaid: u,un:se,ed
_until: u,un:ti,il
_untrue: u,un:tro
_unusual: u,un:U,Uzh:w0,0l
_unusually: u,un:U,Uzh:w0,0l:lE
_up: u,up
_upon: u:pa,an
_upper: u:p3
_ups: u,ups
_urban: 3:bi,in
_us: u,us
_use: yo,os
_used: yo,ozd
_useful: U,Us:f0,0l
_usefulness: U,Us:f0,0l:ni,is
_user: U:z3
_users: U:z3,3z
_uses: yo:zi,iz
_usually: yo:zo:w6:lE
_usuallyd: yo:zo:w9:lE,Ed
_vain: vA,An
_value: v@,@l:lU
_valued: v@,@l:lU,Ud
_values: v@,@l:lU,Us
_variable: vA,Ar:ri:u:b0,0l
_variables: vA,Ar:ri:u:b0,0ls
_varieties: vu:rI:yi:tE,Ez
_variety: vu:rI:yi:tE
_various: vA,Ar:ri:yi,is
_vast: v@,@st
_vegetable: ve,ej:ti:b0,0l
_vegetables: ve,ej:ti:b0,0ls
_vehicle: vE:i:k0,0l
_vehicles: vE:i:k0,0lz
_vena: vE:nu
_version: v3:zhi,in
_versions: v3:zhi,ins
_very: vA,Ar:rE
_victim: vi,ik:ti,im
_victims: vi,ik:tu,umz
_victories: vi,ik:t3:rE,Ez
_victorious: vi,ik:t0,0r:rE:i,is
_victory: vi,ik:t3:rE
_video: vi:dE:O
_videos: vi:dE:O,Oz
_view: vU
_viewed: vU,Ud
_views: vU,Uz
_village: vi,il:li,ij
_villagers: vi,il:li:j3,3z
_villages: vi,il:li:ji,iz
_villains: vi:li,inz
_violence: vI:li,ins
_violent: vI:li,int
_virtually: v3:cho:w0,0l:lE
_vision: vi:zhi,in
_visions: vi:zhi,inz
_visit: vi:zi,it
_visited: vi:zi:ti,id
_visiting: vi:si:t1,1ng
_visitor: vi:si:t3
_visitors: vi:si:t3,3z
_visits: vi:zi,its
_voice: vQ,Qs
_voiced: vQ,Qsd
_voices: vQ:si,iz
_volume: v9:lU,Um
_volumes: v9:lU,Ums
_vote: vO,Ot
_voted: vO:ti,id
_voter: vO:dd3
_voters: vO:dd3,3z
_votes: vO,Ots
_voting: vO:t1,1ng
_vow: v8
_waifu: wI:fo
_wait: wA,At
_waited: wA:ti,id
_waiting: wA:t1,1ng
_waits: wA,Ats
_wake: wA,Ak
_waken: wA:ki,in
_wakes: wA,Aks
_waking: wA:k1,1ng
_walk: w9,9k
_walked: w9,9kd
_walking: wa:k1,1ng
_walks: w9,9ks
_wall: w9,9l
_walls: w9,9ls
_wanna: wa:nu
_want: wa,ant
_wanted: wa,an:ti,id
_wanting: wa,an:t1,1ng
_wants: wa,ants
_war: wa,ar
_warm: w0,0rm
_warmed: w0,0rmd
_warmer: w0,0r:m3
_warmest: w0,0r:mi,ist
_warms: w0,0rms
_warn: w0,0rn
_warned: w0,0rnd
_warning: w0,0r:n1,1ng
_warnings: w0,0r:n1,1ngz
_warns: w0,0rnz
_wars: wa,ars
_was: wu,uz
_waste: wA,Ast
_wasted: wA,As:ti,id
_wastes: wA,Asts
_wasting: wA,As:t1,1ng
_watch: wa,ach
_watched: wa,achd
_watches: wa:chi,iz
_watching: wa:ch1,1ng
_water: wa:t3
_watered: wa:t3,3d
_waters: wa:t3,3z
_wave: wA,Av
_waves: wA,Avz
_way: wA
_ways: wA,Az
_we: wE
_weak: wE,Ek
_weaker: wE:k3
_weakest: wE:ki,ist
_weakling: wE,Ek:l1,1ng
_weapon: we:pi,in
_weapons: we:pi,ins
_wear: wA,Ar
_wears: wA,Ars
_weather: we:th3
_weathers: we:th3,3z
_wed: wE,Ed
_week: wE,Ek
_weekend: wE:ke,end
_weekends: wE:ke,ends
_weeks: wE,Eks
_weight: wA,At
_weights: wA,Ats
_welcome: we,el:ku,um
_welcomed: we,el:ku,umd
_welcomes: we,el:ku,ums
_welcoming: we,el:ku:m1,1ng
_welfare: we,el:fA,Ar
_well: we,el
_wells: we,els
_went: we,ent
_were: w3
_west: we,est
_western: we:st3,3n
_westerns: we,es:t3,3ns
_wests: we,ests
_weve: wE,Ev
_what: wu,ut
_whatd: wu,ud
_whatever: wu,ut:e:v3
_whateverd: wu,ut:e:v3,3d
_whats: wu,uts
_wheel: wE,El
_wheels: wE,Els
_when: we,en
_where: wA,Ar
_whered: wA,Ard
_wheres: wA,Ars
_whereve: wA,Arv
_whether: we:th3
_which: wi,ich
_while: wI,Il
_white: wI,It
_whiter: wI:t3
_whites: wI,Its
_whitest: wI:ti,ist
_who: ho
_whoa: wO
_whod: ho,od
_whole: h0,0l
_whom: ho,om
_whos: ho,os
_whose: ho,os
_whouldve: wu:du,uv
_why: wI
_whyd: wI,Id
_whys: wI,Is
_whyve: wI,Iv
_wide: wI,Id
_wider: wI:d3
_widest: wI:di,ist
_wife: wI,If
_wild: wI,Ild
_wilds: wI,Ilds
_will: wi,il
_willing: wi,il:l1,1ng
_wills: wi,ils
_win: wi,in
_wind: wi,ind
_window: wi,in:dO
_windows: wi,in:dO,Oz
_winds: wi,inds
_windy: wi,in:dE
_wine: wI,In
_wines: wI,Ins
_wing: w1,1ng
_winged: w1,1ngd
_winging: w1,in:g1,1ng
_wings: w1,1ngz
_winner: wi:n3
_winners: wi:n3,3z
_winning: wi:n1,1ng
_wins: wi,ins
_winter: wi,in:t3
_winters: wi,in:t3,3z
_wish: wi,ish
_wished: wi:ishd
_wishes: wi:shi,iz
_wishing: wi:sh1,1ng
_with: wi,ith
_within: wi:thi,in
_without: wi,ith:th8,8t
_withs: wi,iths
_witness: wi,it:ni,is
_witnessed: wi,it:ni,isd
_witnesses: wi,it:ni:si,is
_witnessing: wi,it:ni:s1,1ng
_wives: wI,Ivz
_wo: wO
_woke: wO,Ok
_woman: w6:m&,&n
_women: w6:me,en
_won: wu,un
_wonder: wu,un:d3
_wondered: wu,un:d3,3d
_wonderful: wu,un:d3:f0,0l
_wonderfully: wu,un:d3:flE
_wondering: wu,un:d3:r1,1ng
_wonders: wu,un:d3,3z
_wont: wO,Ont
_wood: w6,6d
_woods: w6,6ds
_word: w3,3d
_worded: w3:di,id
_words: w3,3dz
_work: w3,3k
_worked: w3,3kd
_worker: w3:k3
_workers: w3:k3,3z
_works: w3,3ks
_world: w3,3ld
_worlds: w3,3lds
_worn: w0,0rn
_worried: w0:rE,Ed
_worries: w0:rE,Ez
_worry: w0:rE
_worrying: w0:rE:y1,1ng
_worst: w3,3st
_worth: w3,3th
_worthless: w3,3th:li,is
_would: wu,ud
_wouldnt: wu:di,int
_wrap: r@,@p
_wrapped: r@,@pd
_wrapping: r@:p1,1ng
_wraps: r@,@ps
_wreck: re,ek
_write: rI,It
_writer: rI:t3
_writers: rI:t3,3z
_writes: rI,Its
